,Ratings,Reviews,Price,split_source,Discount_Ratio,Edition_Year_Freq,Vintage_Count,Fraction_Author_BookCategory,Fraction_Author_Genre,Overall_Author_Rating,Total_Books_Per_Author,"Genre_Arts History, Theory & Criticism (Books)",Genre_Asian History,Genre_Biographies & Autobiographies (Books),Genre_Cinema & Broadcast (Books),Genre_Comics,Genre_Comics & Graphic Novels (Books),Genre_Comics & Mangas (Books),Genre_Computer Science Books,Genre_Contemporary Fiction (Books),"Genre_Crime, Thriller & Mystery (Books)",Genre_Design,Genre_Dictionaries,Genre_Encyclopaedias & Reference Works (Books),Genre_Government (Books),"Genre_Handicrafts, Decorative Arts & Crafts (Books)",Genre_Healthy Living & Wellness (Books),Genre_Humour (Books),Genre_Indian Writing (Books),Genre_Language Learning & Teaching (Books),"Genre_Language, Linguistics & Writing (Books)",Genre_Linguistics (Books),Genre_Mangas,Genre_Music Books,Genre_Others,Genre_Romance (Books),Genre_Software & Business Applications (Books),Genre_Sports Training & Coaching (Books),Genre_True Accounts (Books),Genre_Writing Guides (Books),"BookCategory_Arts, Film & Photography","BookCategory_Biographies, Diaries & True Accounts",BookCategory_Comics & Mangas,"BookCategory_Computing, Internet & Digital Media","BookCategory_Crime, Thriller & Mystery",BookCategory_Humour,"BookCategory_Language, Linguistics & Writing",BookCategory_Politics,BookCategory_Romance,BookCategory_Sports,Book_Type_Mass Market Paperback,Book_Type_Others,Book_Type_Paperback
918,4.0,2,689.0,0,0.0,0.010645119917917148,17,0.13494967978042086,0.03133577310155535,0.8,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
919,4.6,3,361.0,0,0.0,0.021033730922149545,14,0.15324794144556267,0.020128087831655993,0.9199999999999999,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
920,5.0,1,1252.0,0,0.0,0.060151340259074,6,0.13494967978042086,0.009149130832570906,1.0,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
921,4.6,16,346.0,0,0.0,0.13158907272027703,1,0.15416285452881975,0.01303751143641354,0.9199999999999999,0.00014734050390452334,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
922,5.0,2,1285.0,0,0.0,0.1068359625496986,3,0.14501372369624885,0.01989935956084172,1.0,0.00014734050390452334,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
923,4.4,95,169.0,0,0.0,0.06515326407592664,5,0.15416285452881975,0.005946935041171089,0.885,0.0005893620156180934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
924,3.5,2,748.0,0,0.0,0.13158907272027703,1,0.15667886550777677,0.05192131747483989,0.7000000000000001,0.00014734050390452334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
925,4.1,5,365.0,0,0.0,0.0471976401179941,7,0.19510521500457456,0.219807868252516,0.8061538461538463,0.003830853101517607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
926,5.0,3,429.0,0,0.0,0.04591509554957035,8,0.16285452881976212,0.01578225068618481,1.0,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
927,5.0,3,359.0,0,0.0,0.01795562395793254,13,0.1354071363220494,0.01303751143641354,0.9133333333333336,0.0008840430234271402,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
928,4.4,28,1230.0,0,0.0,0.0015390534821085034,34,0.13494967978042086,0.023559011893870083,0.8800000000000001,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
929,4.0,2,600.0,0,0.0,0.1068359625496986,3,0.15667886550777677,0.05192131747483989,0.8959999999999999,0.0007367025195226168,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
930,3.8,20,287.0,0,0.0,0.026163909195844555,11,0.14089661482159194,0.0052607502287282705,0.9162499999999998,0.004714896124944747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
931,5.0,9,256.7,0,0.0,0.017186097216878287,12,0.14089661482159194,0.10041171088746569,1.0,0.00014734050390452334,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
932,3.5,2,593.0,0,0.0,0.1068359625496986,3,0.14089661482159194,0.0036596523330283625,0.7000000000000001,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
933,4.4,902,147.0,0,0.0,0.05848403232012313,0,0.08508691674290943,0.0016010978956999085,0.8850000000000002,0.0005893620156180934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
934,3.8,52,50.0,0,0.0,0.08221110683596256,4,0.15324794144556267,0.11527904849039342,0.8254545454545454,0.0016207455429497568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
935,4.5,5,4292.0,0,0.0,0.1068359625496986,3,0.14501372369624885,0.00869167429094236,0.9,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
936,4.6,9,187.0,0,0.0,0.06515326407592664,5,0.15324794144556267,0.11527904849039342,0.7599999999999999,0.0011787240312361867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
937,5.0,1,552.21,0,0.0,0.13158907272027703,1,0.13494967978042086,0.019441903019213176,1.0,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
939,4.4,3,996.0,0,0.0,0.015262280364242658,16,0.14089661482159194,0.04871912168344007,0.8800000000000001,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
940,4.1,7,399.0,0,0.0,0.06515326407592664,5,0.15667886550777677,0.00022872827081427266,0.8996551724137932,0.008545749226462354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
941,3.4,19,244.0,0,0.0,0.08221110683596256,4,0.1914455626715462,0.07159194876486734,0.68,0.00014734050390452334,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
942,4.6,6,592.0,0,0.0,0.13158907272027703,1,0.15416285452881975,0.10041171088746569,0.9199999999999999,0.00014734050390452334,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
943,4.0,1,195.0,0,0.0,0.060151340259074,6,0.19510521500457456,0.219807868252516,0.8,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
944,5.0,2,600.0,0,0.0,0.06515326407592664,5,0.13494967978042086,0.019441903019213176,0.9,0.0002946810078090467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
945,4.4,59,582.0,0,0.0,0.060151340259074,6,0.13494967978042086,0.023559011893870083,0.8800000000000001,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
946,4.5,8,801.0,0,0.0,0.06515326407592664,5,0.15667886550777677,0.05192131747483989,0.8400000000000001,0.0004420215117135701,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
947,4.7,5,200.0,0,0.0,0.05848403232012313,0,0.15324794144556267,0.11527904849039342,0.9400000000000001,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
948,3.1,13,525.0,0,0.0,0.05848403232012313,0,0.08508691674290943,0.003888380603842635,0.6200000000000001,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
949,4.0,1,311.0,0,0.0,0.05848403232012313,0,0.15416285452881975,0.018755718206770355,0.8500000000000001,0.0002946810078090467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
950,5.0,2,258.0,0,0.0,0.05848403232012313,0,0.19510521500457456,0.219807868252516,1.0,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
951,5.0,1,374.0,0,0.0,0.04591509554957035,8,0.19510521500457456,0.219807868252516,1.0,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
952,4.5,2,726.0,0,0.0,0.1068359625496986,3,0.14501372369624885,0.009377859103385178,0.78,0.0002946810078090467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
954,3.4,5,332.0,0,0.0,0.0471976401179941,7,0.19510521500457456,0.219807868252516,0.68,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
955,4.7,11,1954.0,0,0.0,0.08221110683596256,4,0.15667886550777677,0.015096065873741994,0.9300000000000002,0.0002946810078090467,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
956,3.9,47,437.0,0,0.0,0.0471976401179941,7,0.15416285452881975,0.0057182067703568165,0.8575000000000002,0.0011787240312361867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
958,4.0,1,449.0,0,0.0,0.0471976401179941,7,0.19510521500457456,0.0016010978956999085,0.7933333333333333,0.0008840430234271402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
959,4.2,25,589.0,0,0.0,0.11940489932025138,2,0.14501372369624885,0.009377859103385178,0.8400000000000001,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
960,5.0,4,131.35,0,0.0,0.015262280364242658,16,0.14089661482159194,0.0022872827081427266,0.9,0.0002946810078090467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
961,5.0,2,1141.0,0,0.0,0.05848403232012313,0,0.1354071363220494,0.0016010978956999085,0.8400000000000001,0.0002946810078090467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
962,4.4,861,94.0,0,0.0,0.05848403232012313,0,0.08508691674290943,0.0052607502287282705,0.916,0.0007367025195226168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
963,3.7,22,373.0,0,0.0,0.05848403232012313,0,0.15416285452881975,0.10041171088746569,0.7400000000000001,0.0002946810078090467,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
964,4.7,7,348.91,0,0.3150096013298559,0.08221110683596256,4,0.13494967978042086,0.019441903019213176,0.9199999999999999,0.0002946810078090467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
965,4.3,19,247.0,0,0.0,0.04591509554957035,8,0.1914455626715462,0.07159194876486734,0.8182608695652175,0.0033888315898040373,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
966,4.4,67,263.0,0,0.0,0.021033730922149545,14,0.1914455626715462,0.219807868252516,0.8307692307692307,0.003830853101517607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
967,4.8,25,400.0,0,0.0,0.11940489932025138,2,0.15416285452881975,0.10041171088746569,0.96,0.0002946810078090467,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
968,4.5,815,380.0,0,0.0,0.13158907272027703,1,0.16285452881976212,0.013266239707227814,0.8571428571428572,0.0010313835273316634,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
969,3.4,4,340.0,0,0.0,0.01795562395793254,13,0.14089661482159194,0.018526989935956084,0.68,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
970,1.5,2,239.0,0,0.0,0.005001923816852636,21,0.1914455626715462,0.219807868252516,0.7426666666666666,0.00221010755856785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
971,4.2,17,395.0,0,0.0,0.01795562395793254,13,0.1354071363220494,0.0029734675205855443,0.8400000000000001,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
972,3.0,1,445.0,0,0.0,0.13158907272027703,1,0.15667886550777677,0.019441903019213176,0.6000000000000001,0.0002946810078090467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
974,4.2,3,514.0,0,0.0,0.05848403232012313,0,0.19510521500457456,0.219807868252516,0.8400000000000001,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
975,4.3,12,161.0,0,0.0,0.11940489932025138,2,0.15416285452881975,0.10041171088746569,0.86,0.00014734050390452334,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
976,4.6,13,235.0,0,0.0,0.017186097216878287,12,0.1914455626715462,0.07159194876486734,0.9199999999999999,0.00014734050390452334,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
977,4.1,14,243.0,0,0.0,0.04591509554957035,8,0.16285452881976212,0.01578225068618481,0.8666666666666667,0.0004420215117135701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
978,4.5,39,449.0,0,0.0,0.010260356547390022,18,0.13494967978042086,0.009149130832570906,0.9333333333333335,0.0004420215117135701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
979,3.0,1,85.0,0,0.0,0.13158907272027703,1,0.16285452881976212,0.003202195791399817,0.8509677419354841,0.009135111242080447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
980,4.3,13,224.0,0,0.0,0.11940489932025138,2,0.1914455626715462,0.07479414455626715,0.8486746987951812,0.012229261824075438,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
981,4.1,10,165.0,0,0.0,0.04591509554957035,8,0.14089661482159194,0.0052607502287282705,0.82,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
982,4.5,13,856.0,0,0.0,0.11940489932025138,2,0.1354071363220494,0.002516010978956999,0.9,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
983,3.9,20,300.0,0,0.0,0.021033730922149545,14,0.16285452881976212,0.0029734675205855443,0.78,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
984,5.0,3,4427.99,0,0.0,0.1068359625496986,3,0.13494967978042086,0.00022872827081427266,1.0,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
985,5.0,1,176.0,0,0.0,0.0471976401179941,7,0.15667886550777677,0.004117108874656907,1.0,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
986,4.7,4,543.0,0,0.0,0.08221110683596256,4,0.16285452881976212,0.022186642268984445,0.9400000000000001,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
987,5.0,1,796.0,0,0.0,0.060151340259074,6,0.1914455626715462,0.219807868252516,0.8500000000000001,0.0011787240312361867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
988,3.5,5,224.0,0,0.0,0.11940489932025138,2,0.15416285452881975,0.0029734675205855443,0.9133333333333336,0.0008840430234271402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
989,5.0,1,1807.0,0,0.0,0.05848403232012313,0,0.14501372369624885,0.0020585544373284536,1.0,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
990,5.0,2,698.0,0,0.0,0.04591509554957035,8,0.13494967978042086,0.0009149130832570906,1.0,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
991,2.0,1,259.0,0,0.0,0.06515326407592664,5,0.15324794144556267,0.11527904849039342,0.4,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
992,4.2,13,60.0,0,0.0,0.02988328844427344,10,0.16285452881976212,0.016010978956999086,0.8509677419354841,0.009135111242080447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
993,4.6,11,878.0,0,0.0,0.01385148133897653,15,0.19510521500457456,0.219807868252516,0.8871428571428572,0.002062767054663327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
994,4.5,5,176.0,0,0.0,0.010645119917917148,17,0.16285452881976212,0.018298261665141813,0.9,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
995,4.6,87,356.0,0,0.0,0.1068359625496986,3,0.15667886550777677,0.05192131747483989,0.8847058823529411,0.002504788566376897,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
996,3.1,2,92.0,0,0.0,0.06515326407592664,5,0.16285452881976212,0.003202195791399817,0.8509677419354841,0.009135111242080447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
997,5.0,1,362.0,0,0.0,0.0471976401179941,7,0.19510521500457456,0.219807868252516,0.9066666666666667,0.0013260645351407102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
998,3.5,4,185.0,0,0.0,0.11940489932025138,2,0.1914455626715462,0.07159194876486734,0.8486746987951812,0.012229261824075438,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
999,3.1,4,550.0,0,0.0,0.060151340259074,6,0.16285452881976212,0.018298261665141813,0.6200000000000001,0.0002946810078090467,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1000,5.0,5,649.0,0,0.0,0.06515326407592664,5,0.15416285452881975,0.10041171088746569,1.0,0.00014734050390452334,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1001,3.5,8,850.0,0,0.0,0.01385148133897653,15,0.1354071363220494,0.0006861848124428179,0.77,0.0005893620156180934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1002,2.0,1,261.0,0,0.0,0.1068359625496986,3,0.08508691674290943,0.0013723696248856359,0.4,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1003,4.0,1,99.0,0,0.0,0.1068359625496986,3,0.16285452881976212,0.018298261665141813,0.8509677419354841,0.009135111242080447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1004,4.4,9,499.0,0,0.0,0.06515326407592664,5,0.15324794144556267,0.11527904849039342,0.8800000000000001,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1005,4.0,2,549.0,0,0.0,0.1068359625496986,3,0.19510521500457456,0.0016010978956999085,0.8,0.00014734050390452334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1006,5.0,1,250.0,0,0.0,0.010645119917917148,17,0.1914455626715462,0.219807868252516,0.9,0.0004420215117135701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1007,3.6,19,169.0,0,0.0,0.015262280364242658,16,0.14501372369624885,0.009377859103385178,0.81,0.0002946810078090467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1008,4.9,12,689.0,0,0.0,0.00487366936001026,27,0.13494967978042086,0.014181152790484904,0.9086956521739131,0.0033888315898040373,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1009,4.4,30,252.0,0,0.0,0.021033730922149545,14,0.13494967978042086,0.018298261665141813,0.9400000000000001,0.0013260645351407102,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1010,4.1,108,274.0,0,0.0,0.002308580223162755,33,0.1914455626715462,0.0029734675205855443,0.8819999999999999,0.0014734050390452335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
